contract_month,price_eur_mwh,source,retrieved_utc,contract_code
2026-10,69.370,ICE Endex WebICE (delayed),2026-09-22T11:05:00Z,Oct26
2026-11,69.190,ICE Endex WebICE (delayed),2026-09-22T11:04:00Z,Nov26
2026-12,68.930,ICE Endex WebICE (delayed),2026-09-22T11:05:00Z,Dec26
2027-01,68.710,ICE Endex WebICE (delayed),2026-09-22T11:05:00Z,Jan27
2027-02,68.115,ICE Endex WebICE (delayed),2026-09-22T11:05:00Z,Feb27
2027-03,65.845,ICE Endex WebICE (delayed),2026-09-22T11:05:00Z,Mar27
2027-04,55.575,ICE Endex WebICE (delayed),2026-09-22T11:02:00Z,Apr27
2027-05,51.955,ICE Endex WebICE (delayed),2026-09-22T10:58:00Z,May27
2027-06,50.475,ICE Endex WebICE (delayed),2026-09-22T10:58:00Z,Jun27
2027-07,49.925,ICE Endex WebICE (delayed),2026-09-22T10:50:00Z,Jul27
2027-08,49.975,ICE Endex WebICE (delayed),2026-09-22T09:52:00Z,Aug27
2027-09,49.685,ICE Endex WebICE (delayed),2026-09-22T09:16:00Z,Sep27
2027-11,49.150,ICE Endex WebICE (delayed),2026-09-22T10:32:00Z,Nov27
2027-12,49.215,ICE Endex WebICE (delayed),2026-09-22T10:14:00Z,Dec27
2028-02,47.800,ICE Endex WebICE (delayed),2026-09-22T09:49:00Z,Feb28
